Predictor,"b (SE)","95% CI","β",p
Intercept,"+253.65 (57.75)","[138.7, 368.6]",—,<.001
ICTSUBJ,"−4.51 (0.84)","[−6.18, −2.84]",−0.053,<.001
ICTHOME,"+1.92 (0.76)","[0.40, 3.43]",+0.028,.0137
ESCS,"+16.54 (1.26)","[14.03, 19.05]",+0.175,<.001
MATHEF21 (self-efficacy),"+8.97 (1.07)","[6.83, 11.10]",+0.110,<.001
ANXMAT (mathematics anxiety),"−11.55 (0.87)","[−13.29, −9.82]",−0.160,<.001
TEACHSUP (teacher support),"−0.65 (0.85)","[−2.34, 1.04]",−0.009,".445 (n.s.)"
DISCLIM (disciplinary climate),"+1.59 (1.06)","[−0.52, 3.70]",+0.021,".138 (n.s.)"
BELONG (sense of belonging),"+5.12 (0.84)","[3.46, 6.79]",+0.060,<.001
"Gender (ST004D01T, male vs. female)","−0.75 (1.88)","[−4.49, 2.99]",−0.005,".691 (n.s.)"
AGE,"+11.73 (3.71)","[4.34, 19.11]",+0.043,.0022
"GRADE (relative to modal grade)","−3.72 (2.66)","[−9.00, 1.57]",−0.026,".165 (n.s.)"
